Page,Clicks,Impressions,CTR,Position
https://www.beautydiaries.gr/apopsi/tobeautydiariesstobovary/to-pio-anazoogonitiko-brand-peripoiisis-onomazetai-laneige-kai-prosgeiothike-molis-sta-sephora/,3,391,0.77%,11.86
https://www.beautydiaries.gr/diagonismos/kerdise-to-protoporiako-antiliako-polis-tis-avene-poy-prostateyei-apo-toys-rypoys/,3,386,0.78%,25.87
https://www.beautydiaries.gr/diagonismos/kerdise-ton-kataprayntiko-oro-vinosource-tis-caudalie/,3,339,0.88%,25.27
https://www.beautydiaries.gr/apopsi/tade-efi/stigmes-me-love/,3,270,1.11%,12.13
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/ekptoseis-epofelisoy-toy-40-tis-estee-lauder-mono-gia-liges-ores-akomi/,3,265,1.13%,10.32
https://www.beautydiaries.gr/apopsi/omorfia/tha-ithela-na-symvainoyn-pragmata-para-poly-oraia-pragmata/,3,251,1.2%,10.23
https://www.beautydiaries.gr/tag/the-body-shop/,3,241,1.24%,2.24
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/anavathmise-tin-alogooyra-soy-4-idees-gia-ligi-empneysi/,3,241,1.24%,27
https://www.beautydiaries.gr/apopsi/tade-efi/meli-to-ygro-chrysafi-tis-omorfias-eischorei-se-yperocha-proionta-peripoiisis/,3,230,1.3%,13.57
https://www.beautydiaries.gr/diagonismos/kerdise-2-yperocha-proionta-givenchy-apo-tin-apithani-kalokairini-limited-edition-syllogi-makigiaz/,3,202,1.49%,16.18
https://www.beautydiaries.gr/category/alithines-istories/,3,196,1.53%,16.29
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/emminopaysi-laimos-ntekolte-kai-peripoiisi-sta-50/,3,149,2.01%,41.36
https://www.beautydiaries.gr/beauty-questions/mikra-mystika-omorfias-gia-oles-tis-ores-35/,3,142,2.11%,21.72
https://www.beautydiaries.gr/apopsi/tobeautydiariesstobovary/yparchei-logos-gia-ton-ethismo-sto-kragion-pure-color-desire-rouge-excess-tis-estee-lauder/,3,134,2.24%,16.8
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/pos-na-diatireis-tin-isorropia-toy-trichotoy-tis-kefalis/,3,123,2.44%,24.76
https://www.beautydiaries.gr/beauty-questions/mikra-mystika-omorfias-gia-oles-tis-ores-37/,3,119,2.52%,15.97
https://www.beautydiaries.gr/blog/to-quot-goysto-moy-kapelo-moy-quot-leitoyrgei-san-anazoogonitiki-maska/,3,116,2.59%,10.99
https://www.beautydiaries.gr/omorfoxamos/beautyreview/i-nea-maskara-tis-too-faced-syzitietai-sto-diadiktyo-oso-kamia-alli/,3,116,2.59%,14.59
https://www.beautydiaries.gr/apopsi/omorfia-apopsi/o-ti-moy-travixe-tin-prosochi-ayti-tin-evdomada-4/,3,114,2.63%,12.12
https://www.beautydiaries.gr/omorfoxamos/oitaseisstinomorfia/pare-empneysi-apo-to-makigiaz-tis-celia-kritharioti-gia-tin-couture-syllogi-tis-sto-parisi/,3,111,2.7%,31.96
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/3-enydatikes-kremes-me-spf-kato-apo-30-eyro/,3,107,2.8%,26.19
https://www.beautydiaries.gr/beautynews/grooming/i-pomada-einai-to-pio-vintage-andriko-proion-gia-ta-mallia-kai-soy-echo-tin-kalyteri/,3,103,2.91%,13.45
https://www.beautydiaries.gr/apopsi/omorfia/psachnontas-gia-iremia/,3,96,3.12%,17.77
https://www.beautydiaries.gr/oraioi-anthropoi/friend-request/h-aplotita-tis-omorfias-opos-ti-vlepei-ena-dimioyrgiko-koritsi/,3,93,3.23%,14.48
https://www.beautydiaries.gr/stonkosmotisomorfias/s-ena-magiko-kipo-milas-kalytera-gia-ta-oraia-tis-fysis-tin-prostasia-toy-planiti-kai-genika-gia-ta-antiliaka-kai-ti-chrisi-toys/,3,92,3.26%,16.88
https://www.beautydiaries.gr/apopsi/tade-efi/esy-xereis-to-pio-fantastiko-ladi-gia-soma-kai-mallia-me-to-pio-tropiko-aroma/,3,92,3.26%,46.39
https://www.beautydiaries.gr/apopsi/tobeautydiariesstobovary/memo-pos-enas-megalos-erotas-egine-to-pio-oraio-aroma/,3,88,3.41%,12
https://www.beautydiaries.gr/blog/filia-i-apolaysi-tis-anagkis-na-dineis-kai-na-dinesai/,3,85,3.53%,26.16
https://www.beautydiaries.gr/apopsi/tade-efi/h-droseri-losion-peripoiisis-me-thymari-einai-soyper-tonotiki/,3,84,3.57%,43.76
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/aromata-mathe-ola-osa-thes-na-xereis-gia-ti-chrisi-toys/,3,78,3.85%,21.24
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/thes-exotika-aromata-edo-eisai/,3,71,4.23%,11.79
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/to-katharistiko-prosopoy-me-elaio-lemonochortoy-poy-xechorizei-gia-tis-yperoches-katharistikes-toy-idiotites/,3,71,4.23%,18.94
https://www.beautydiaries.gr/apopsi/tade-efi/giati-ayti-i-krema-einai-i-no1-protasi-enydatosis-ton-dermatologon-stin-ameriki/,3,70,4.29%,19.09
https://www.beautydiaries.gr/apopsi/tade-efi/giati-einai-toso-teleia-ta-vasika-vimata-tis-gallokoreatikis-ierotelestias/,3,68,4.41%,28.43
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/otan-ena-glyko-aroma-simatodotei-tis-stigmes-charas-soy/,3,61,4.92%,20.67
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/ayti-einai-i-chrisimotita-toy-sfoyggarioy-konjac/,3,60,5%,18.57
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/soma/mporei-ena-fysiko-systatiko-na-prosferei-frontida-kai-chalarosi-se-soma-kai-pneyma/,3,58,5.17%,15.98
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/to-makigiaz-me-tin-pio-sygklonistiki-yfi-periechei-elaio-triantafylloy/,3,54,5.56%,14.43
https://www.beautydiaries.gr/omorfoxamos/beautyreview/anakalypse-to-pio-teleio-proion-makigiaz-me-3-chriseis-kai-mia-glossy-synthesi-me-nero-karydas/,3,53,5.66%,15.79
https://www.beautydiaries.gr/apopsi/tade-efi/entopistike-to-pio-aorato-antiliako-mist-uv-water-os-oplo-prostasias-gia-kathe-drastirio-efivo/,3,53,5.66%,24.42
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-teleies-bb-gia-tin-pio-apsogi-ki-alavastrini-epidermida/,3,52,5.77%,29.08
https://www.beautydiaries.gr/blog/to-restart-einai-to-pio-must-have-proion-lampsis-kai-tonosis/,3,50,6%,7.4
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/grooming/psithyrise-toy-merika-apo-ta-pio-oraia-antrika-proionta-peripoiisis/,3,49,6.12%,23.94
https://www.beautydiaries.gr/apopsi/tade-efi/otan-oi-kiniseis-omorfias-tis-koreatikis-ierotelestias-ginontai-megalo-thema-syzitisis/,3,47,6.38%,21.62
https://www.beautydiaries.gr/des-ta-panta-allios-ki-alliotika/pigaine-oso-pio-makria-ginetai/,3,44,6.82%,6.41
https://www.beautydiaries.gr/2015/06/11/το-τελετουργικό-για-να-λάμψεις-κέρδισ/,3,41,7.32%,26.22
https://www.beautydiaries.gr/omorfoxamos/top-10/10-blur-proionta-poy-kontraroyn-ta-filtra-toy-instagram-gia-gymno-ki-apsogo-derma/,3,40,7.5%,28.18
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/den-soy-stronei-to-meikap-dokimase-na-kaneis-ayta-ta-vimata/,3,32,9.38%,9.47
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/to-neo-limited-edition-makigiaz-toy-givenchy-einai-mia-odi-sto-fos-toy-ilioy/,3,31,9.68%,21.9
https://www.beautydiaries.gr/apopsi/omorfia-apopsi/o-ti-moy-travixe-tin-prosochi-ayti-tin-evdomada-1/,3,30,10%,12
https://www.beautydiaries.gr/apopsi/tade-efi/to-micellar-kanei-thaymata-kai-sta-mallia/,3,29,10.34%,15.07
https://www.beautydiaries.gr/apopsi/tade-efi/einai-ta-pio-atimelita-frydia-i-megalyteri-tasi-toy-kalokairioy/,3,27,11.11%,32.93
https://www.beautydiaries.gr/apopsi/tade-efi/3-maskes-prosopoy-poy-chrisimopoioyntai-os-apolyto-teletoyrgiko-i-mia-meta-tin-alli/,3,22,13.64%,30.86
https://www.beautydiaries.gr/tag/garnier-bio/,3,21,14.29%,20.62
https://www.beautydiaries.gr/beautynews/makigiaz/i-nea-emmoni-gia-sexi-cheili-einai-ena-glossy-lip-colour/,3,16,18.75%,13.81
https://www.beautydiaries.gr/omorfoxamos/politeliproiontaomorfias/otan-to-vlemma-soy-epithymei-to-kalytero/,3,15,20%,8.13
https://www.beautydiaries.gr/category/beauty-news-ta-nea-tis-omorfias/makigiaz/,2,524,0.38%,1.28
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/esy-ti-les-oi-kafe-kilides-antimetopizontai/,2,487,0.41%,41.65
https://www.beautydiaries.gr/oraioi-anthropoi/nice-to-meet-you/xristina-alexanian-quot-eisai-omorfi-otan-niotheis-omorfa-quot/,2,447,0.45%,17.09
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/antiliaki-prostasia-me-chroma-i-sosti-proini-lampsi/,2,400,0.5%,49.9
https://www.beautydiaries.gr/apopsi/tade-efi/to-makigiaz-soy-tairiazei-me-ta-gyalia-soy/,2,333,0.6%,49.14
https://www.beautydiaries.gr/blog/einai-teleia-i-opoia-soy-ateleia/,2,306,0.65%,11.77
https://www.beautydiaries.gr/2014/01/06/κάθε-θύμηση-θέλει-χρόνο-κέρδισε/,2,289,0.69%,9.71
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/yparchei-kati-pio-drastiko-gia-tis-vathies-rytides-apo-mia-kali-krema-antigiransis/,2,213,0.94%,45.26
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/3-teleia-ki-oikonomika-tzel-katharismoy-prosopoy-kato-apo-10-eyro/,2,210,0.95%,58.86
https://www.beautydiaries.gr/category/nyxia/,2,172,1.16%,14.33
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/h-zoi-kravits-lampei-sto-pleyro-toy-karl-gkloysman-eno-kati-teleio-quot-mageireyei-quot-me-ysl/,2,163,1.23%,8.12
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/i-enydatiki-krema-me-chroma-ki-antiliako-deikti-prostasias-poy-paei-gia-diploma-eyresitechnias/,2,140,1.43%,34.71
https://www.beautydiaries.gr/stonkosmotisomorfias/oi-synitheies-ginontai-i-kalyteri-roytina-omorfias-2/,2,132,1.52%,10.79
https://www.beautydiaries.gr/apopsi/tade-efi/kalokairini-symperifora/,2,112,1.79%,9.81
https://www.beautydiaries.gr/apopsi/tade-efi/i-pio-droseri-krema-toy-klokairioy-chrisimopoieitai-poikilotropos/,2,104,1.92%,14.38
https://www.beautydiaries.gr/apopsi/omorfia/chamogela-poly-kai-deixe-dontia-stin-epochi/,2,91,2.2%,15.74
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/poia-einai-i-gkreis-elizampeth-poy-foraei-to-pio-analafro-ki-elafros-aromatismeno-me-loyloydia-kragion/,2,89,2.25%,15.38
https://www.beautydiaries.gr/alithines-istories/mia-fora-ki-enan-kairo/o-talantoychos-aromatopoios-francis-kurkdjian-proteinei-na-echeis-mia-aromatiki-gkarntarompa/,2,85,2.35%,20.05
https://www.beautydiaries.gr/blog/an-thes-na-apolayseis-to-oyranio-toxo-prepei-prota-na-diacheiristeis-ti-vrochi/,2,81,2.47%,10.1
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/clinique-id-h-prasini-kapsoyla-poy-katapra-nei-kathe-erethismo/,2,67,2.99%,11.6
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/ola-osa-thes-na-xereis-gia-to-pio-agapimeno-kai-yperteleio-primer-tis-agoras-poy-ananeonei-ti-syskeyasia-toy/,2,67,2.99%,34.18
https://www.beautydiaries.gr/omorfoxamos/beautyreview/poso-hot-einai-oi-pseytikes-vlefarides/,2,60,3.33%,17.98
https://www.beautydiaries.gr/omorfoxamos/beautyreview/thes-ena-soyper-analafro-meikap-poy-fernei-se-enydatiki-krema-kai-dinei-apsogo-teleioma/,2,58,3.45%,16.57
https://www.beautydiaries.gr/apopsi/tade-efi/ayti-i-krema-nychtas-forietai-san-maska-gia-orati-veltiosi-ton-kafe-kilidon-2/,2,58,3.45%,22.84
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/ta-4-vimata-tis-epitychias-gia-pio-sarkodi-kai-sexi-cheili/,2,57,3.51%,21.32
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/farmakeio/prota-katanoise-to-mikrovioma-soy-kai-meta-antimetopise-tis-ateleies-tis-epidermidas-soy/,2,56,3.57%,28.68
https://www.beautydiaries.gr/omorfoxamos/oitaseisstinomorfia/ta-nude-cheili-oriothetoyn-ti-nea-sezon/,2,55,3.64%,16.05
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/fersoy-san-paidi/3-teleia-paidika-proionta-peripoiisis-poy-kanoyn-kai-gia-sena/,2,54,3.7%,51.2
https://www.beautydiaries.gr/apopsi/omorfia/to-xenychti-soy-mporei-na-einai-ki-i-idaniki-anazoogonisi-soy/,2,52,3.85%,20.46
https://www.beautydiaries.gr/apopsi/tade-efi/ola-osa-prepei-na-xereis-gia-to-adynatistiko-elaio-poy-echo-agapisei/,2,52,3.85%,42.88
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/kapoy-edo-antilamvanesai-tin-alithini-omorfia-tis-estee-lauder-companies/,2,50,4%,19.14
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/i-emilia-klark-etheathi-me-yperocho-kokkino-kragion-kai-sexi-aroma-se-mia-paradosiaki-trattoria/,2,48,4.17%,48.12
https://www.beautydiaries.gr/omorfoxamos/beautyreview/to-pio-thaymatoyrgo-proion-peripoiisis-cheilion-mporeis-kai-na-to-fas/,2,44,4.55%,13.7
https://www.beautydiaries.gr/apopsi/changkover-aisiodoxias/,2,43,4.65%,23.72
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/grooming/file-moy-an-einai-na-ektetheis-ston-ilio-to-noy-soy-na-to-kaneis-me-asfaleia/,2,42,4.76%,16.1
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/soma/mikrovioma-kairos-na-matheis-na-to-frontizeis/,2,42,4.76%,23.05
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/mathe-ta-panta-gia-tin-pio-anatreptiki-nude-paleta-skion-poy-periechei-elaio-karydas/,2,41,4.88%,43.93
https://www.beautydiaries.gr/beauty-questions/mikra-mystika-omorfias-gia-oles-tis-ores-45/,2,39,5.13%,16.87
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/giati-i-nea-syllogi-wild-earth-toy-oikoy-dior-dimioyrgei-megalo-thema-syzitisis/,2,39,5.13%,26.51
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/to-rock-chic-pneyma-toy-oikoy-karl-legerfeld-egine-i-pio-alliotiki-limited-seira-makigiaz-tis-l-oreal-paris/,2,38,5.26%,12.42
https://www.beautydiaries.gr/omorfoxamos/oitaseisstinomorfia/eyeliner-foteina-konsiler-kai-mat-kragion-odi-stin-italiki-aristotechnia-toy-oikoy-dolce-amp-gabbana/,2,36,5.56%,29.17
https://www.beautydiaries.gr/blog/ti-simainei-na-mporeis-na-echeis-toso-rythmiko-vimatismo/,2,33,6.06%,7.58
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/ti-na-kaneis-gia-na-diatiriseis-soyper-tis-idiotites-mias-maskara/,2,33,6.06%,12.58
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/aroma/poio-aroma-dinei-enthoysiodi-kinisi-kai-dynamiko-rythmo/,2,30,6.67%,15.2
https://www.beautydiaries.gr/apopsi/omorfia/i-despoinis-idaniki-einai-i-fysiognomia-tis-epochis/,2,29,6.9%,11.69
https://www.beautydiaries.gr/beautynews/farmakeio/rodochroys-nosos-ti-einai-kai-pos-antimetopizetai/,2,27,7.41%,14.89
https://www.beautydiaries.gr/2015/10/20/χαμογέλα-πολύ-και-δείξε-δόντια-στην-επ/,2,25,8%,6.16
https://www.beautydiaries.gr/tag/hydra-biome-probiotic-superdose-face-mask/,2,25,8%,8.44
https://www.beautydiaries.gr/omorfoxamos/oitaseisstinomorfia/ayta-ta-hair-trends-tha-s-apascholisoyn-tis-protes-fthinoporines-meres/,2,25,8%,11.56
https://www.beautydiaries.gr/category/apopsi/tade-efi/,2,25,8%,27.48
https://www.beautydiaries.gr/omorfoxamos/beautyreview/mat-adiavrocho-kai-vegan-e-nai-ayto-to-meikap-einai-alliotiko/,2,24,8.33%,15.29
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/einai-adynaton-na-min-latrepseis-ayta-ta-nude-kragion-me-13-49e/,2,23,8.7%,17
https://www.beautydiaries.gr/tag/istories-gynaikon/,2,23,8.7%,22
https://www.beautydiaries.gr/omorfoxamos/oitaseisstinomorfia/ta-skoyra-kragion-tha-forethoyn-oso-tipota-allo/,2,22,9.09%,13.36
https://www.beautydiaries.gr/beautynews/aroma/tetoia-kanei-o-tom-ford-kai-oi-kalokairinoi-erotes-den-tha-echoyn-imerominia-lixis/,2,18,11.11%,7.67
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/to-teleiotero-powder-foundation-einai-mia-nea-ki-yperochi-empneysi-tis-kat-von-d/,2,18,11.11%,11.67
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/anarotiesai-ti-kanoyn-oi-star-toy-cholygoynt-kai-ta-mallia-toys-einai-panta-lampera/,2,17,11.76%,5.94
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/clinique-id-i-portokali-kapsoyla-poy-exafanizei-os-dia-mageias-ta-simadia-koyrasis/,2,17,11.76%,7.35
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/aytoi-einai-5-mono-mythoi-gia-ta-mallia-soy/,2,17,11.76%,21.06
https://www.beautydiaries.gr/beautynews/peripoiisi/clinique-id-me-ligo-mov-kai-oi-rytides-den-einai-pia-idies/,2,15,13.33%,12.33
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/3-koyp-poy-tairiazoyn-poly-se-gynaikes-ano-ton-40/,2,12,16.67%,19.67
https://www.beautydiaries.gr/apopsi/tade-efi/soy-vrika-tin-oraioteri-antiliaki-krema-gia-tis-panades-soy/,1,437,0.23%,66.82
https://www.beautydiaries.gr/apopsi/beautynews-apopsi/giati-telika-ena-mono-eyeliner-mporei-na-apogeiosei-kathe-makigiaz-mation/,1,417,0.24%,57.17
https://www.beautydiaries.gr/apopsi/tade-efi/i-krema-mallion-poy-prepei-na-dokimaseis/,1,222,0.45%,39.41
https://www.beautydiaries.gr/omorfoxamos/takaliteraproiontaomorfias/10-proionta-se-jelly-yfi-poy-einai-must-have-gia-olo-to-kalokairi/,1,217,0.46%,25.81
https://www.beautydiaries.gr/apopsi/tade-efi/2-logoi-poy-echo-xetrelathei-me-tis-maskes-tis-galenic/,1,195,0.51%,23.04
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/esy-ti-kaneis-gia-tin-apotoxinosi-tis-epidermidas-soy/,1,187,0.53%,14.26
https://www.beautydiaries.gr/apopsi/tade-efi/anoixe-ta-matia-soy-kai-des-tin-anagki-soy-gia-pio-lampero-vlemma/,1,187,0.53%,24.68
https://www.beautydiaries.gr/apopsi/tobeautydiariesstobovary/sakoyles-mayroi-kykloi-grammes-kai-rytides-pos-na-deichneis-oti-echeis-koimithei-8-ores/,1,170,0.59%,56.96
https://www.beautydiaries.gr/omorfoxamos/oitaseisstinomorfia/kare-toy-assoy-ayto-einai-to-pio-dynato-hair-trend-tis-sezon/,1,162,0.62%,15.54
https://www.beautydiaries.gr/omorfoxamos/beautyreview/to-proto-molyvi-frydion-tis-rihanna-einai-gegonos-ki-einai-synarpastiko/,1,142,0.7%,30.38
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/ayto-to-bronze-look-tis-tzenifer-lorens-einai-paneykolo-na-to-petycheis/,1,129,0.78%,43.02
https://www.beautydiaries.gr/apopsi/tade-efi/i-levanta-einai-must-have-gia-enydatosi-kai-prolipsi-ton-proton-rytidon/,1,127,0.79%,45.83
https://www.beautydiaries.gr/apopsi/tade-efi/ayto-einai-to-mystiko-gia-tin-prolipsi-ki-antimetopisi-ton-proton-simadion-giransis/,1,118,0.85%,42.36
https://www.beautydiaries.gr/beauty-questions/mikra-mystika-omorfias-gia-oles-tis-ores-30/,1,117,0.85%,20.74
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/einai-ena-sfoyggaraki-toso-must-have-gia-kathe-makigiaz/,1,112,0.89%,33.34
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/h-antiliaki-seira-mallion-tis-phyto-paris-einai-kati-parapano-apo-teleia/,1,112,0.89%,45.32
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/epidiorthose-to-frizarisma-ton-mallion-soy/,1,110,0.91%,35.09
https://www.beautydiaries.gr/stonkosmotisomorfias/beauty-day-pos-i-prolipsi-i-omorfia-kai-i-eyexia-droyn-syndyastika-gia-na-lampseis-etsi-apla/,1,100,1%,20.71
https://www.beautydiaries.gr/tag/caudalie/,1,99,1.01%,1.12
https://www.beautydiaries.gr/omorfoxamos/oikonomikaproiontaomorfias/ora-na-ziseis-simera-mia-black-friday-me-agapimena-aromata-kai-veloydines-yfes-apo-the-body-shop/,1,92,1.09%,16.84
https://www.beautydiaries.gr/blog/ap-ola-ta-oraia-esy-chrone-mono-esy/,1,90,1.11%,20.1
https://www.beautydiaries.gr/apopsi/tobeautydiariesstobovary/pos-i-sosti-peripoiisi-prosopoy-energopoiei-tis-leitoyrgies-tis-epidermidas-kata-ti-diarkeia-toy-ypnoy/,1,90,1.11%,45.01
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/aytes-einai-oi-symvoyles-peripoiisis-gia-lampera-mallia-stin-kardia-toy-kalokairioy/,1,89,1.12%,52.79
https://www.beautydiaries.gr/blog/ayto-einai-ena-akomi-analafro-post-gia-ton-aygoysto-poy-sikonei-mono-antiliako-kai-tipota-allo/,1,88,1.14%,16.32
https://www.beautydiaries.gr/omorfoxamos/beautyreview/3-lansarismata-tis-nyx-cosmetics-poy-einai-ena-epos-gia-to-kathimerino-makigiaz/,1,88,1.14%,17.84
https://www.beautydiaries.gr/apopsi/tobeautydiariesstobovary/ayto-einai-to-apolyto-kalokairino-aroma-ton-diakopon/,1,88,1.14%,19.27
https://www.beautydiaries.gr/blog/einai-se-kinisi-ta-psycho-logika-soy-me-tetoio-kairo/,1,87,1.15%,17.83
https://www.beautydiaries.gr/blog/i-istoria-piso-apo-ena-oraio-klik/,1,84,1.19%,11.05
https://www.beautydiaries.gr/nyxia/etsi-tha-epilexeis-to-idaniko-schima-gia-ta-nychia-soy/,1,84,1.19%,21.39
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/9-fantastikes-persones-anadeiknyoyn-to-lampero-xantho-chroma-ton-mallion-toys-mesa-apo-mia-monadiki-seira-peripoiisis/,1,82,1.22%,29.8
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/oi-pio-teleies-kalokairines-skies-mation-den-einai-mpronze/,1,78,1.28%,33.19
https://www.beautydiaries.gr/omorfoxamos/oitaseisstinomorfia/o-ti-axizei-na-deis-sto-pinterest-gia-na-empneysteis-kai-gia-na-dimioyrgiseis/,1,77,1.3%,20.12
https://www.beautydiaries.gr/apopsi/tade-efi/ayto-to-antiliako-prosopoy-me-energo-anthraka-echei-ischyri-drasi-enantia-sti-fotogiransi/,1,77,1.3%,45.83
https://www.beautydiaries.gr/blog/i-anadromi-epikoinonia-echei-kapoia-oraia-epirroi/,1,76,1.32%,34.3
https://www.beautydiaries.gr/apopsi/tade-efi/ayto-einai-to-alfavitari-toy-kalokairioy/,1,72,1.39%,28.15
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/h-cara-delevingne-o-peter-philips-kai-to-neo-emvlimatiko-kragion-toy-oikoy-dior-se-proto-plano/,1,71,1.41%,23.7
https://www.beautydiaries.gr/beautynews/peripoiisi/giati-echeis-mayroys-kykloys-eno-koimasai-oso-chreiazetai/,1,69,1.45%,29.58
https://www.beautydiaries.gr/blog/i-monaxia-toy-mpoyntoyar/,1,67,1.49%,8.9
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/peripoiisiprosopou/ta-anti-stres-proionta-peripoiisis-tha-einai-panta-polytima/,1,67,1.49%,21.49
https://www.beautydiaries.gr/apopsi/tade-efi/ti-theloyn-na-soy-poyn-oi-ellinikoi-beauty-logariasmoi-toy-instagram-me-ta-postarismata-toys/,1,66,1.52%,20.73
https://www.beautydiaries.gr/oraioi-anthropoi/celebrity-beauty/h-polyteli-seira-re-nutriv-tis-estee-lauder-sto-mpoyntoyar-mias-apithanis-personas/,1,66,1.52%,22.5
https://www.beautydiaries.gr/nyxia/prosthese-ki-essie-chroma-kai-lampsi-sta-gkriza-soy-oneira/,1,64,1.56%,12.53
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/makigiaz/kragion-ti-apokalyptei-i-epilogi-soy-s-ayto/,1,64,1.56%,27
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/megalose-ta-matia-soy-me-to-sosto-makigiaz/,1,61,1.64%,30.16
https://www.beautydiaries.gr/apopsi/tade-efi/tha-einai-oi-nees-apochroseis-kragion-tis-nars-to-thema-tis-sezon/,1,60,1.67%,20.48
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/grooming/giati-to-loyk-toy-soyper-iroa-kris-evans-einai-panta-to-kati-allo/,1,60,1.67%,22.15
https://www.beautydiaries.gr/tag/mystyleforecast-com/,1,59,1.69%,7
https://www.beautydiaries.gr/apopsi/tade-efi/einai-polloi-oi-logoi-poy-to-iamatiko-nero-tis-avene-kanei-thaymata-stin-epidermida/,1,59,1.69%,37.9
https://www.beautydiaries.gr/beauty-news-ta-nea-tis-omorfias/mallia/peftoyn-sigoyra-ta-mallia-soy-kane-to-eykolo-test-kai-des-kai-tin-lysi/,1,58,1.72%,29.31
https://www.beautydiaries.gr/apopsi/tade-efi/merika-oraia-poy-mono-oi-beauty-junkies-apolamvanoyn/,1,57,1.75%,13.49
https://www.beautydiaries.gr/blog/oi-dikes-soy-valitses-einai-tigka-i-mpa/,1,57,1.75%,18.82
https://www.beautydiaries.gr/apopsi/tade-efi/giati-ayto-to-nero-katharismoy-echei-kataktisei-tin-kathimerini-roytina-peripoiisis/,1,56,1.79%,18.34
https://www.beautydiaries.gr/2012/04/22/ωραία-πουναι-η-κυριακή/,1,54,1.85%,7.94
https://www.beautydiaries.gr/omorfoxamos/symvoulesomorfias/ligo-mono-makigiaz-mporei-na-se-kanei-na-deixeis-pio-xekoyrasti-kai-lamperi/,1,54,1.85%,21.26
